年月;地區;食品餐飲類未滿20(筆數);食品餐飲類未滿20(金額，新台幣);衣著飾品類未滿20(筆數);衣著飾品類未滿20(金額，新台幣);旅館住宿類未滿20(筆數);旅館住宿類未滿20(金額，新台幣);交通類未滿20(筆數);交通類未滿20(金額，新台幣);文教康樂類未滿20(筆數);文教康樂類未滿20(金額，新台幣);百貨類未滿20(筆數);百貨類未滿20(金額，新台幣);其他類未滿20(筆數);其他類未滿20(金額，新台幣);食品餐飲類20(含)-25(筆數);食品餐飲類20(含)-25(金額，新台幣);衣著飾品類20(含)-25(筆數);衣著飾品類20(含)-25(金額，新台幣);旅館住宿類20(含)-25(筆數);旅館住宿類20(含)-25(金額，新台幣);交通類20(含)-25(筆數);交通類20(含)-25(金額，新台幣);文教康樂類20(含)-25(筆數);文教康樂類20(含)-25(金額，新台幣);百貨類20(含)-25(筆數);百貨類20(含)-25(金額，新台幣);其他類20(含)-25(筆數);其他類20(含)-25(金額，新台幣);食品餐飲類25(含)-30(筆數);食品餐飲類25(含)-30(金額，新台幣);衣著飾品類25(含)-30(筆數);衣著飾品類25(含)-30(金額，新台幣);旅館住宿類25(含)-30(筆數);旅館住宿類25(含)-30(金額，新台幣);交通類25(含)-30(筆數);交通類25(含)-30(金額，新台幣);文教康樂類25(含)-30(筆數);文教康樂類25(含)-30(金額，新台幣);百貨類25(含)-30(筆數);百貨類25(含)-30(金額，新台幣);其他類25(含)-30(筆數);其他類25(含)-30(金額，新台幣);食品餐飲類30(含)-35(筆數);食品餐飲類30(含)-35(金額，新台幣);衣著飾品類30(含)-35(筆數);衣著飾品類30(含)-35(金額，新台幣);旅館住宿類30(含)-35(筆數);旅館住宿類30(含)-35(金額，新台幣);交通類30(含)-35(筆數);交通類30(含)-35(金額，新台幣);文教康樂類30(含)-35(筆數);文教康樂類30(含)-35(金額，新台幣);百貨類30(含)-35(筆數);百貨類30(含)-35(金額，新台幣);其他類30(含)-35(筆數);其他類30(含)-35(金額，新台幣);食品餐飲類35(含)-40(筆數);食品餐飲類35(含)-40(金額，新台幣);衣著飾品類35(含)-40(筆數);衣著飾品類35(含)-40(金額，新台幣);旅館住宿類35(含)-40(筆數);旅館住宿類35(含)-40(金額，新台幣);交通類35(含)-40(筆數);交通類35(含)-40(金額，新台幣);文教康樂類35(含)-40(筆數);文教康樂類35(含)-40(金額，新台幣);百貨類35(含)-40(筆數);百貨類35(含)-40(金額，新台幣);其他類35(含)-40(筆數);其他類35(含)-40(金額，新台幣);食品餐飲類40(含)-45(筆數);食品餐飲類40(含)-45(金額，新台幣);衣著飾品類40(含)-45(筆數);衣著飾品類40(含)-45(金額，新台幣);旅館住宿類40(含)-45(筆數);旅館住宿類40(含)-45(金額，新台幣);交通類40(含)-45(筆數);交通類40(含)-45(金額，新台幣);文教康樂類40(含)-45(筆數);文教康樂類40(含)-45(金額，新台幣);百貨類40(含)-45(筆數);百貨類40(含)-45(金額，新台幣);其他類40(含)-45(筆數);其他類40(含)-45(金額，新台幣);食品餐飲類45(含)-50(筆數);食品餐飲類45(含)-50(金額，新台幣);衣著飾品類45(含)-50(筆數);衣著飾品類45(含)-50(金額，新台幣);旅館住宿類45(含)-50(筆數);旅館住宿類45(含)-50(金額，新台幣);交通類45(含)-50(筆數);交通類45(含)-50(金額，新台幣);文教康樂類45(含)-50(筆數);文教康樂類45(含)-50(金額，新台幣);百貨類45(含)-50(筆數);百貨類45(含)-50(金額，新台幣);其他類45(含)-50(筆數);其他類45(含)-50(金額，新台幣);食品餐飲類50(含)-55(筆數);食品餐飲類50(含)-55(金額，新台幣);衣著飾品類50(含)-55(筆數);衣著飾品類50(含)-55(金額，新台幣);旅館住宿類50(含)-55(筆數);旅館住宿類50(含)-55(金額，新台幣);交通類50(含)-55(筆數);交通類50(含)-55(金額，新台幣);文教康樂類50(含)-55(筆數);文教康樂類50(含)-55(金額，新台幣);百貨類50(含)-55(筆數);百貨類50(含)-55(金額，新台幣);其他類50(含)-55(筆數);其他類50(含)-55(金額，新台幣);食品餐飲類55(含)-60(筆數);食品餐飲類55(含)-60(金額，新台幣);衣著飾品類55(含)-60(筆數);衣著飾品類55(含)-60(金額，新台幣);旅館住宿類55(含)-60(筆數);旅館住宿類55(含)-60(金額，新台幣);交通類55(含)-60(筆數);交通類55(含)-60(金額，新台幣);文教康樂類55(含)-60(筆數);文教康樂類55(含)-60(金額，新台幣);百貨類55(含)-60(筆數);百貨類55(含)-60(金額，新台幣);其他類55(含)-60(筆數);其他類55(含)-60(金額，新台幣);食品餐飲類60(含)-65(筆數);食品餐飲類60(含)-65(金額，新台幣);衣著飾品類60(含)-65(筆數);衣著飾品類60(含)-65(金額，新台幣);旅館住宿類60(含)-65(筆數);旅館住宿類60(含)-65(金額，新台幣);交通類60(含)-65(筆數);交通類60(含)-65(金額，新台幣);文教康樂類60(含)-65(筆數);文教康樂類60(含)-65(金額，新台幣);百貨類60(含)-65(筆數);百貨類60(含)-65(金額，新台幣);其他類60(含)-65(筆數);其他類60(含)-65(金額，新台幣);食品餐飲類65(含)-70(筆數);食品餐飲類65(含)-70(金額，新台幣);衣著飾品類65(含)-70(筆數);衣著飾品類65(含)-70(金額，新台幣);旅館住宿類65(含)-70(筆數);旅館住宿類65(含)-70(金額，新台幣);交通類65(含)-70(筆數);交通類65(含)-70(金額，新台幣);文教康樂類65(含)-70(筆數);文教康樂類65(含)-70(金額，新台幣);百貨類65(含)-70(筆數);百貨類65(含)-70(金額，新台幣);其他類65(含)-70(筆數);其他類65(含)-70(金額，新台幣);食品餐飲類70(含)-75(筆數);食品餐飲類70(含)-75(金額，新台幣);衣著飾品類70(含)-75(筆數);衣著飾品類70(含)-75(金額，新台幣);旅館住宿類70(含)-75(筆數);旅館住宿類70(含)-75(金額，新台幣);交通類70(含)-75(筆數);交通類70(含)-75(金額，新台幣);文教康樂類70(含)-75(筆數);文教康樂類70(含)-75(金額，新台幣);百貨類70(含)-75(筆數);百貨類70(含)-75(金額，新台幣);其他類70(含)-75(筆數);其他類70(含)-75(金額，新台幣);食品餐飲類75(含)-80(筆數);食品餐飲類75(含)-80(金額，新台幣);衣著飾品類75(含)-80(筆數);衣著飾品類75(含)-80(金額，新台幣);旅館住宿類75(含)-80(筆數);旅館住宿類75(含)-80(金額，新台幣);交通類75(含)-80(筆數);交通類75(含)-80(金額，新台幣);文教康樂類75(含)-80(筆數);文教康樂類75(含)-80(金額，新台幣);百貨類75(含)-80(筆數);百貨類75(含)-80(金額，新台幣);其他類75(含)-80(筆數);其他類75(含)-80(金額，新台幣);食品餐飲類80(含)以上(筆數);食品餐飲類80(含)以上(金額，新台幣);衣著飾品類80(含)以上(筆數);衣著飾品類80(含)以上(金額，新台幣);旅館住宿類80(含)以上(筆數);旅館住宿類80(含)以上(金額，新台幣);交通類80(含)以上(筆數);交通類80(含)以上(金額，新台幣);文教康樂類80(含)以上(筆數);文教康樂類80(含)以上(金額，新台幣);百貨類80(含)以上(筆數);百貨類80(含)以上(金額，新台幣);其他類80(含)以上(筆數);其他類80(含)以上(金額，新台幣)
105年04月;基隆市;82;62383;46;99368;24;43292;80;31904;26;31098;14;16735;29;203104;1549;1725439;878;1719126;306;1068946;1671;931759;813;1654881;232;333362;1057;6126282;4082;5276464;2130;4373644;941;4053773;5274;3300070;1955;4294124;606;1641750;3581;18275295;6648;9189203;2932;6425472;1238;6193270;8274;5817338;2277;6362577;836;2139501;6608;27990025;9642;11863759;3852;9168982;1373;8608970;10627;7426572;2514;7768902;1139;3211007;7563;35225381;10497;12857719;4002;10157367;1540;10059749;10450;8103293;2444;9014837;1161;3540723;5929;36223055;11732;14701967;4241;11201273;1589;11192851;10404;7933716;2121;8543534;1262;3446994;5096;33413676;10502;13325294;3559;10230176;1419;10020379;9592;7640480;1738;7242624;1300;4360917;4157;33796638;8185;9882121;2512;7036924;982;7284649;6731;5258876;1228;5528098;959;3310886;2984;24879790;6380;7473177;1489;4200271;659;3641259;4233;3141025;777;3927025;741;2833699;1782;14061464;2878;3238336;519;1346646;297;1702616;1670;1095254;274;1790017;314;1109378;718;6620182;935;882054;112;249154;77;417297;511;312785;90;601152;70;223973;192;1468128;302;583633;33;92216;23;131299;137;88512;24;189468;34;137304;78;611944;174;167480;7;14452;16;155925;42;19852;19;55310;9;32820;19;87769
105年05月;基隆市;90;94772;48;116160;32;114704;110;84820;32;66925;12;12265;41;190073;1740;2177869;1046;1937878;324;1228042;1868;1044855;747;1549704;224;368419;1234;6498253;4578;6180480;2476;4911785;980;4002546;5639;3858527;1976;5350074;718;1756126;3036;17602238;7328;10060866;3270;7072167;1232;5977538;8739;6319263;2320;7116345;1089;2395156;4009;23546670;10488;13374708;4177;9436751;1427;8024340;11313;8518700;2409;8023012;1371;3237467;4653;26490100;11375;14633511;4378;10910598;1328;7786546;11077;9287470;2267;10024486;1378;3255362;4778;32185369;12620;15706300;4785;12805253;1519;8702163;10931;9128543;2086;9899446;1429;3893637;4529;30042455;11137;14292137;3926;10558687;1381;8042313;10074;8332069;1772;8892326;1457;4112481;3886;27036007;9107;11009818;2848;7973006;1063;7130317;6865;5753880;1172;5192549;1169;3504590;2812;20379122;6871;8288762;1606;4459330;661;4303275;4380;3570349;674;3820695;861;3063549;1867;15699086;3366;3826081;558;1421415;329;1581185;1767;1409560;282;1615293;377;1156021;712;6277759;1019;1035000;133;284215;84;389920;489;302259;91;450880;107;213413;211;1895445;381;498601;46;81946;37;206154;171;111636;45;321664;49;103190;87;899688;180;191508;10;12440;17;174539;50;33233;16;110448;9;40500;29;92074
105年06月;基隆市;71;68798;36;60694;20;43683;99;170113;22;21724;11;9636;50;95452;1420;1724861;818;1450230;285;1130347;1392;794585;587;1212293;159;202979;1383;4392721;3833;4806129;2013;3686493;791;3528230;4446;2996691;1559;3895629;584;1322121;3424;14159232;6336;8208643;2608;5067288;1060;5284381;7144;5229593;1669;4422497;808;1707333;4369;18099347;9051;11336666;3468;7517179;1262;8142807;9370;7244601;1920;6945747;1024;1980595;5397;24667478;10018;11823224;3695;8600130;1334;9106870;9480;8445172;1947;8608627;1090;2236306;5440;28350570;10654;13169095;3896;9263547;1356;8943237;9331;7628992;1740;9252177;1146;3270720;5151;28086477;10143;12766466;3384;8746204;1310;9915952;8632;7600442;1396;7087121;1086;3006992;4410;25088867;8161;9381210;2178;5681418;896;6282884;5897;4791563;973;5098736;800;2215305;2876;18073602;6327;7700092;1329;3695619;620;4381315;3729;3041353;635;2834116;574;1807759;1863;12770350;3008;3061016;451;1115801;266;1320843;1574;1188348;255;1992037;220;645278;707;4977181;904;870704;94;205995;61;437406;447;316371;66;739955;68;169664;213;1135152;332;427068;35;66340;22;164792;151;103497;33;228988;24;80279;90;429170;138;118275;13;26869;13;77867;42;39710;12;136384;3;2122;28;627815
105年07月;基隆市;109;87224;52;84247;41;149795;114;175180;41;84300;8;6126;63;149934;1968;2474473;987;1764964;393;1486455;1937;1057988;997;1899440;211;393138;1745;5505156;5173;6576390;2148;4200241;993;4187646;5556;3512008;2197;3727134;568;1057945;5138;18476128;8300;10654376;2961;5936447;1403;7122615;8771;6009202;2453;5663825;790;1235534;8387;26793400;11953;15146903;4022;8481955;1754;9772813;11362;8529623;2988;7313296;1243;2594118;10030;37271826;13267;16770934;4418;10282908;1913;11313930;11197;9325108;2918;9744925;1421;2849890;8150;37646662;14288;18381176;4600;10719133;2006;13716856;10790;9080910;2476;9361929;1387;3096407;7002;34584378;13392;17354346;3926;10003957;1643;11210945;9900;8676573;1995;7745494;1218;2969953;5545;29888276;10400;13203944;2538;6378254;1097;8310056;6778;5615735;1347;5348473;863;2147388;3580;22383039;8166;9902446;1542;3987815;730;5600470;4362;3424714;824;3865017;551;1438006;2268;14285809;3717;4397333;494;1199685;328;2288896;1748;1355798;301;1278034;257;659821;833;5524473;1233;1283871;117;235727;81;588511;513;334832;76;277696;72;156215;243;1490979;463;579172;38;100605;38;349637;150;165728;31;283347;29;68181;98;787903;367;413176;79;271618;27;306892;112;136015;42;692083;25;82396;121;1459189
105年08月;基隆市;88;75141;38;57216;32;114794;118;66635;33;47438;9;20233;48;126802;1729;2188454;899;1689152;399;1583017;1858;1081319;830;1637582;213;304681;1429;3258500;4837;6611657;2050;4095890;1053;4174109;6089;3854685;1942;3587124;648;1086046;4670;11719562;7712;10436336;2577;5178333;1342;6093901;9564;6373606;2068;4885044;889;1500136;7740;22255921;10566;14372202;3658;8028183;1669;7408503;12759;9030068;2402;6019276;1220;2127542;9480;27813002;11650;14947727;4120;9394272;1821;9528390;13597;10862688;2136;6756171;1413;2935173;7666;26320067;12854;17718238;4605;11712379;1883;11177711;14035;10436120;2078;7336397;1462;3275990;6537;24182187;11785;16969355;3666;9252609;1554;9931606;12566;9199097;1639;5686413;1323;2904936;5019;22469593;9217;11960153;2762;6965791;1078;7320893;8869;6313151;1168;4734411;932;2430365;3446;17139474;7201;9329826;1640;4297852;623;3635025;5792;4069825;712;3237431;642;1619634;2133;11528607;3323;4488422;530;1233453;287;1528117;2503;1691361;261;963647;232;527926;827;4412155;1132;1266368;117;221594;86;717221;674;436800;89;174195;76;194807;218;1242737;380;478017;37;62156;28;216840;195;126284;29;178749;31;74133;109;789625;328;429665;68;218505;40;428007;112;127453;42;255765;28;42738;89;687945
105年09月;基隆市;153;127880;46;69223;35;82247;85;40175;31;70238;14;15977;48;73411;1843;2377681;702;1373924;338;1211269;1797;950862;718;1143593;229;322564;1476;3844823;4638;6348742;1668;3287987;968;4733165;5623;3620220;1770;3240991;699;1091550;4332;12981523;7560;10033399;2204;4728254;1157;4897416;8841;6038571;1931;4188071;846;1402598;7423;20832700;10641;13269134;2741;6100927;1400;7860368;11601;8573356;2164;5378470;1018;2153147;8630;26577398;12059;14577243;3049;7206641;1407;8837219;12279;9697095;1976;5472938;1132;2179876;7162;24989795;12878;17067647;3385;8706072;1446;8645144;12531;9583361;1859;5007744;1193;3115845;6070;24318107;12352;16091473;2928;8074139;1342;8553005;11442;8717707;1571;5698278;1251;3379092;4720;20335414;9224;11514643;2017;5947582;936;6561169;8114;6127378;1027;4317463;952;2805460;3089;14962339;7176;8573076;1226;3682382;549;3916642;5311;3985528;715;5081450;724;1827305;1998;10725064;3398;3985867;447;1152504;287;1519476;2141;1497920;300;2099724;295;716311;886;5028460;1093;1310726;79;197812;72;394177;555;334688;72;412117;110;328141;217;1355930;390;497237;39;170392;34;221372;181;117224;20;75012;29;63755;95;950907;291;387701;60;225841;26;280191;94;126478;34;153987;16;35077;89;405002
105年04月;新竹市;473;542121;97;152265;44;216911;315;109289;174;1150745;303;544535;68;218334;10511;9760869;1925;3469953;1121;4592447;5336;2560358;3513;9794093;7920;20852023;2493;7345195;37984;45711318;5809;11131344;4468;19245239;17593;10386451;9649;34759300;23496;70567677;8224;28611549;75750;99886023;9784;19154477;8082;32309785;27526;20120207;11616;45747620;37681;116616291;13816;55348012;101127;141320600;9827;20160678;9864;38463236;31190;24372620;12587;61797275;43332;133408586;15311;71991819;90965;130574738;6788;15151518;8990;37828592;25145;23300744;10680;59967605;35494;120159886;12148;69152677;77730;112858350;5058;13624874;7082;33253834;21317;18484124;8920;56913675;27041;98655201;10079;62503636;55336;81984406;3285;9778382;5365;29645207;16068;14160541;5773;43669173;17192;68568682;7032;46830522;34406;51005249;1768;5615327;3054;14695319;10135;9150975;3326;33146468;8981;39013672;4056;26380652;21520;30373706;1010;3511311;1790;8726283;5782;5617347;1948;23501192;4834;25075395;2326;16847557;10686;13040753;330;917208;724;3461014;2474;1710984;866;12092080;1991;7930812;919;7011195;3414;4382844;76;183228;213;820495;760;610704;239;3846988;465;1699286;243;1976179;1841;2262456;23;325129;109;1131170;279;193245;135;1621395;250;916863;144;1038474;620;783735;11;28961;39;173193;83;39681;43;325993;84;300266;44;250771
105年05月;新竹市;582;511696;104;147346;65;634886;364;162744;162;861649;329;635464;146;523897;10911;10800967;1955;3695711;1093;3872868;5753;2816126;3447;10131237;8425;20403064;3322;8567567;40296;48657633;5668;11095354;4430;17759641;19029;11402250;9593;35509621;24192;66394806;10035;29367772;81471;106451795;9408;18199421;8162;34238009;29261;21399229;11577;47508762;38417;107385802;15509;56780966;108558;150569827;9674;20169909;9969;39911107;32902;26391118;12482;70766890;44370;124278965;17129;72644069;97624;137957042;6826;15429490;8861;38092371;26603;23452617;10496;72364985;37542;109369268;13692;71651323;82769;118290476;5377;14072172;7207;34211161;22433;20312978;8545;68422194;29222;97492618;11058;64932544;58611;86140990;3361;9211872;5194;23989068;16877;15002110;5814;45530773;19098;68806378;7690;50107518;36490;51930989;1915;6279201;3086;16495161;10698;10587352;3292;32362102;10350;38412063;4462;31438825;23077;31601341;1051;3445182;1745;8287156;6064;5133817;1985;23416304;5525;21707726;2468;17999662;11423;14653159;347;1105736;680;2692434;2658;1934739;847;10397980;2237;8131101;1069;8015813;3576;4508504;85;247221;226;1081831;779;696118;241;3212612;645;1922194;291;2445015;2056;2327805;41;214582;100;627336;282;209800;148;1671849;321;957683;166;1237968;700;857308;7;25354;70;333827;89;52924;37;469010;90;235331;47;306435
105年06月;新竹市;363;468411;72;110291;43;482524;195;88826;170;1293676;287;589968;96;206676;7089;7075591;1206;2102801;704;2525434;3514;2028343;2445;5930424;5229;11759793;2423;4699122;31706;39345977;4266;7807270;3151;11567845;13518;8501722;7366;23429362;18159;43513289;8764;21802230;67464;89573218;7430;13495199;6549;24373744;21297;15867378;9535;35582352;30270;72488413;13470;45435197;92344;127421885;7950;15803858;9575;39184885;24564;21129087;10536;59936297;37914;93585774;14991;59171211;84855;119060357;5818;12362590;8122;34009393;20887;21634994;9123;73365651;33049;86375341;12333;59551111;73251;103590015;4510;11113293;6265;27990593;18129;17016561;7347;68997680;26110;75642329;10109;55760394;52785;78277069;2855;7962314;4665;22619045;13797;12699613;4942;45827156;16617;53729404;6933;40029250;33464;49797896;1498;4854491;2785;13878500;8597;8652766;2719;24608289;8791;29998551;4042;26370171;21273;29579434;819;2462156;1588;9032290;4935;4870581;1548;15971918;4727;15180585;2201;15337457;10264;12885408;284;776061;624;2969848;2122;1835996;678;9011204;1928;6880961;923;6469355;3175;3791070;66;138565;184;682949;632;675640;200;3206444;537;1517261;247;2112954;1728;1963730;40;84221;93;304956;234;165273;100;1233145;248;774324;167;1112493;616;720911;8;17442;28;181304;59;39368;40;399501;108;408384;54;360276
105年07月;新竹市;518;463811;117;195424;73;446183;268;136129;195;961001;430;716279;178;354993;11120;11278791;1927;3205907;1214;4180016;5716;3085563;3455;8717661;8272;17710739;3924;7794570;44513;53526668;5454;10407734;4803;18832752;19438;11741105;8975;31271148;24897;60655075;12119;31343744;87987;114166408;8816;16171024;8867;36256369;29238;22838736;11098;41962018;39153;91535237;17984;59386942;117458;161139571;9743;18429763;12169;49937762;33389;27500299;13372;68168665;46864;112118533;19778;77124360;106871;147651412;6986;14160644;10456;42489066;27428;25518167;11926;86754576;39837;96027107;15835;73727834;90245;130964635;5571;13426283;8341;39112727;23059;22272617;9624;80789679;31498;85758690;12710;70149223;66142;96718949;3691;9703076;5958;29432870;17593;16641656;6329;53536570;19926;59802835;8500;48381888;41387;60726343;1914;5653101;3581;17930644;11127;10457622;3313;30661903;10452;33084574;4916;30214090;26137;35904721;1019;2861011;2023;9368491;6405;5416947;1825;14947664;5621;17176582;2642;16939371;13044;15987285;357;1009471;804;4270761;2742;2089602;792;7899872;2245;7057683;1140;8348601;3909;5047959;98;230246;259;1459595;788;557827;229;2595602;627;1788626;328;1946998;2180;2626911;35;44123;106;498511;321;228313;125;731929;242;839119;152;943346;1101;1450286;72;225172;117;660714;237;235860;128;1448804;284;525509;184;864168
105年08月;新竹市;487;583594;102;149625;82;546915;281;136302;239;1057125;507;805206;165;357747;10545;10767081;1621;2885831;1233;3825164;6027;3048286;3414;9033940;8072;16911323;3869;7773574;41162;51344550;4741;9397627;4453;15706378;20559;10998721;9102;34962742;22845;56916278;12347;32150904;80310;104409307;7727;14467774;8391;33425636;31828;20870235;10888;46797443;35364;82255416;19239;62465150;106023;145457515;8382;15888170;11263;41542067;38563;28776805;12392;67105862;41853;100509574;21418;78588540;95569;137148678;6457;13735345;10403;42144083;34319;27880001;11397;76654208;36495;94914328;16668;75358792;79555;118381266;5312;12971875;8336;38103024;30309;25092217;9579;74959111;29197;76334171;12919;67461244;56064;86199759;3530;9840438;5849;26163434;23092;19074388;6207;52728479;19025;54547483;8685;52268342;35009;54728781;1865;5707411;3319;17869624;15086;12059011;3443;34333053;10153;30254652;5089;30933189;21521;31620989;1046;2977756;1987;9119516;8750;6631460;2039;19300867;5425;16599994;2864;17818258;10609;14498011;364;875752;773;2914499;3815;2542093;882;11486663;2273;7154619;1177;7402260;3099;4136335;100;323197;259;1168801;1197;718586;279;3508476;620;1844248;308;1656051;1531;1997982;27;41043;119;419268;519;324225;137;1674650;212;822818;160;1209242;1126;1415671;65;166852;134;687457;268;250451;160;1466661;286;718696;177;1066495
105年09月;新竹市;555;739254;90;130615;77;370262;334;239813;219;705177;437;808081;194;301615;10729;11682826;1527;2757012;1152;4229763;5518;2651121;3207;8189834;6760;16632301;3870;9467560;41011;52717476;4564;9535278;4261;17717848;18411;11445147;8397;30453226;20264;55845891;11509;35736059;80766;107549380;7681;15243614;7789;32657416;28513;19686122;10265;44565121;32163;86416189;17297;57541180;109035;154724043;7880;15556926;10408;40489443;34495;27062135;11536;57434056;37951;104468578;19033;75719937;100343;147302992;5637;11963113;9167;37050401;30639;26510999;10301;57840836;31620;90230781;15241;70938268;85582;127983373;4357;10402234;7593;34367006;27450;24953962;8625;54040456;25188;79751477;11907;66063091;61409;92915632;2930;7977488;5473;27718633;20989;18487007;5905;45200417;16250;54916333;8171;48014258;38413;57656408;1563;4107009;3162;15725774;13532;11819324;3447;34784387;8799;31272410;4829;27887653;23803;32989541;912;2933531;1729;7681053;7853;6492883;1865;20295814;4630;16661974;2556;16135198;12065;15161604;340;1169104;714;2957584;3394;2494034;916;10451708;1959;6546899;1151;7529962;3750;4618685;67;168114;235;959154;1055;685229;254;3622167;456;1417839;306;1717453;2023;2429783;18;32562;93;422522;452;295435;168;1896964;206;767082;163;992407;1092;1491487;61;220639;104;1079874;239;233013;129;1046674;243;574131;196;1213317
105年04月;新竹縣;106;172619;15;37275;31;86602;400;319608;71;313835;47;32149;32;112533;2647;3026128;320;692538;558;1779928;6078;3695326;997;2845061;919;658776;1283;4631767;10771;14338524;1541;3929639;2401;9718750;24290;16501388;3375;9996867;2661;2194779;4477;18550732;24245;29050061;4554;9500614;5434;22578005;42367;32936340;6819;19322224;3875;3239887;8453;41357861;36553;41084208;5689;12769743;7834;30125240;47939;40449553;11273;34895070;4779;4645853;9945;50430522;34641;39656723;3721;9707896;7946;30027824;40342;37009801;11496;40827299;3520;3565071;7655;41706423;24880;29707079;2592;7827029;6405;26189001;31168;29048141;9688;35811974;2183;2577163;5746;34015640;13898;18959437;1503;5878415;4496;17887456;21942;19517046;6831;26632265;949;1183099;3731;22974850;7170;10417317;744;3285515;2503;11317680;12472;10899545;4476;18182782;372;427653;2045;13428726;4036;5507290;404;1699039;1396;6466171;7305;6349698;2605;10816773;153;263536;1087;8479945;1865;2243468;134;471386;584;3389395;3585;2356362;1122;6713778;54;129854;488;2765957;567;722261;29;71364;190;887771;1073;677966;349;1999585;12;4949;113;778426;231;226413;8;23322;78;560528;404;226433;149;1008114;3;2059;60;459952;54;69748;6;16547;47;96691;90;40388;39;222988;0;0;11;49760
105年05月;新竹縣;103;139457;9;14263;27;87104;395;361243;80;303491;48;28587;48;81599;2776;3208528;394;894546;575;1897213;6585;3946830;1188;3419218;1016;716532;1406;4338500;11876;15793715;1522;3546696;2291;9673953;25818;18033336;4343;12242326;2925;2261179;5056;20540039;26253;31273275;4838;10361215;5313;24688450;44480;36188145;7496;22371257;4227;3544746;9138;42504817;38521;43530924;6053;13304738;7783;31738574;51244;45452740;11763;37678572;4927;5061407;10963;54528042;36781;40826062;4187;11142170;7756;30256279;43127;41189705;11724;38719964;3651;3742847;8384;43272723;26552;32177405;2709;8192986;6498;27808594;32756;31572374;9725;34173943;2206;2622208;6282;34586206;14765;19327640;1702;6419717;4485;17793059;23371;21651242;7118;29284757;929;1498400;3926;24355423;7565;10156240;809;3367398;2551;11549251;13306;12515576;4702;18110805;403;444669;2089;13153476;4242;5636744;435;1837579;1406;5993596;7813;7014663;2837;10455395;166;280872;1171;7844577;2037;2226243;129;451147;636;3128590;3817;2620743;1178;5373471;71;81753;516;3527752;578;692350;34;100771;202;1370006;1095;687667;388;1534223;13;13705;141;915798;273;238672;11;37354;79;372403;479;297968;161;871717;3;8800;57;214783;66;176223;2;19570;28;153007;80;38738;34;110474;2;3827;13;73306
105年06月;新竹縣;86;147010;10;15014;16;30761;316;330873;74;215574;38;20903;31;107562;1906;2090135;232;498199;333;1017042;4025;2529151;890;2433955;701;487514;1142;3117361;8902;10120133;1088;2357726;1615;6506874;18670;13139204;3146;8504616;2260;1806409;4313;13941185;20523;22055575;3568;7050261;3769;17752407;33436;27312324;5687;18298998;3460;2828177;8173;32433719;31866;33975904;4667;10354283;5810;23640476;39043;35526838;8847;30844826;4262;4512539;10178;43421210;30717;32688583;3250;9281072;5928;25117165;34150;32617730;9020;34201417;3154;3698789;7876;37881905;22606;26288121;2074;5992199;4950;19586832;26330;26391590;7564;27084745;2000;2473534;5950;30809072;12829;15764473;1224;4580443;3455;14991851;19081;18756488;5350;22567219;822;1173678;3965;20549422;6489;8374473;560;2169921;1961;10243519;10789;10244592;3310;14034093;342;497047;1961;10977724;3591;4965701;313;1174726;1107;5438034;6378;5897136;2036;8016819;161;132667;1124;6394073;1812;1998759;84;287428;469;2072643;3232;2230419;873;3646354;57;97200;530;2871604;507;592742;28;93225;146;486485;954;591272;243;854970;16;13744;104;481182;204;194759;2;8307;42;126503;328;212439;113;276709;6;4084;62;237867;71;104586;0;0;18;34166;66;60045;30;63536;1;2099;19;132208
105年07月;新竹縣;157;241313;10;26626;38;93029;465;439042;134;340994;47;33660;93;166977;3187;3620829;345;772581;584;2034192;7066;4305068;1538;3738384;1119;855601;2223;5491421;13397;16044722;1469;3283024;2503;11633758;27380;19206953;5381;14002342;3124;2254396;8800;27523602;29754;33807328;4655;9406546;5302;24082757;46300;36618804;8644;24241460;4560;4034577;18556;68381185;43538;47603622;5841;12110861;8678;37625232;54182;49211718;12961;42860059;5357;4916090;25454;97533388;41010;45199242;3840;9225654;8405;35917943;45934;44029350;13375;45278192;4293;4866015;23051;92507331;29714;34139188;2644;8111563;6783;29651800;34632;33746767;10761;38302115;2502;3118705;17623;76797379;17368;21641192;1549;5870107;4854;22218232;24347;23491647;7037;28954131;1086;1547744;11259;48773152;8771;12087181;620;2563006;2578;11912503;14462;13888071;4100;16024075;410;492359;5851;28465847;4685;6043449;354;1294906;1503;6592832;8187;7812324;2459;10030824;195;255850;3020;15038357;2349;2584150;91;238086;652;3393664;3879;2801887;1021;3930161;51;89560;1141;5433816;675;850006;24;83853;210;946584;1129;756118;298;1664757;12;8507;284;1434474;304;326687;6;22659;72;174953;399;253471;129;354062;6;4044;92;388240;287;375943;29;114646;84;422611;298;224455;150;942984;15;20794;345;1386554
